ID,Lead_Name,Email,Phone,Source,Date,Region,Industry,Status,Follow_up_Days,Ad_Spend,Revenue
81,Sonia Bose,sonia.bose@example.com,+17472806994,Apollo.io,2026-01-29,Europe,HR,Contacted,30,158.07,0.0
82,Amit Mehta,amit.mehta@example.com,+14847761430,LinkedIn Sales Navigator,2026-03-25,US,Finance,New,18,116.43,0.0
83,Amit Gupta,amit.gupta@example.com,+918931591531,Meta Ads,2026-03-23,India,Retail,New,18,136.19,0.0
84,Anita Mehta,anita.mehta@example.com,+919455246775,WhatsApp Business,2026-03-18,India,Retail,New,17,37.94,0.0
85,Singh Desai,singh.desai@example.com,+919799620568,HubSpot,2026-01-04,India,Retail,Converted,26,123.79,4471.204247809591
86,Vikram Desai,vikram.desai@example.com,+917808482355,Apollo.io,2026-03-13,India,Retail,New,8,64.7,0.0
87,Raj Mehta,raj.mehta@example.com,+15560712830,LinkedIn Sales Navigator,2026-03-17,US,HR,New,15,166.86,0.0
88,Raj Bose,raj.bose@example.com,+14067961943,Meta Ads,2026-01-16,US,HR,New,8,125.86,0.0
89,Sonia Tv,sonia.tv@example.com,+11741134891,WhatsApp Business,2026-03-04,Europe,Retail,Converted,17,39.77,4651.717661550476
90,Anita Bose,anita.bose@example.com,+918064051191,HubSpot,2026-01-26,India,Finance,Converted,12,12.92,3135.687435980393
91,Arjun Tv,arjun.tv@example.com,+918880157459,Apollo.io,2026-01-15,India,Tech,Converted,27,8.53,3280.0711270371394
92,Priya Desai,priya.desai@example.com,+19551219870,LinkedIn Sales Navigator,2026-02-23,US,Tech,Contacted,8,74.28,0.0
93,Raj Mehta,raj.mehta@example.com,+13619094295,Meta Ads,2026-02-12,Europe,Finance,Contacted,25,53.17,0.0
94,Raj Tv,raj.tv@example.com,+16857897124,WhatsApp Business,2026-01-29,US,Retail,New,14,129.22,0.0
95,Neha Desai,neha.desai@example.com,+19237475801,HubSpot,2026-03-17,Europe,HR,Converted,4,99.87,2631.523281811144
96,Vikram Kumar,vikram.kumar@example.com,+918663941470,Apollo.io,2026-03-24,India,Tech,Converted,1,53.2,3105.4161030811297
97,Rahul Singh,rahul.singh@example.com,+13567900251,LinkedIn Sales Navigator,2026-03-07,US,Healthcare,Contacted,1,29.85,0.0
98,Vikram Desai,vikram.desai@example.com,+919709637214,Meta Ads,2026-01-23,India,Healthcare,Converted,19,25.44,1120.0031876644325
99,Neha Desai,neha.desai@example.com,+919780155330,WhatsApp Business,2026-03-23,India,Finance,Contacted,16,172.93,0.0
100,Neha Sharma,neha.sharma@example.com,+918437308013,HubSpot,2026-02-05,India,Retail,Contacted,14,48.7,0.0
101,Rahul Tv,rahul.tv@example.com,+917283089268,Apollo.io,2026-01-02,India,Tech,Converted,21,130.34,6880.953750863501
102,Sonia Tv,sonia.tv@example.com,+12416011033,LinkedIn Sales Navigator,2026-01-24,US,Retail,Converted,16,162.14,3603.4516401843043
103,Vikram Kumar,vikram.kumar@example.com,+919396433758,Meta Ads,2025-12-30,India,Tech,Contacted,5,122.82,0.0
104,Priya Tv,priya.tv@example.com,+18208584394,WhatsApp Business,2026-02-04,US,Finance,Contacted,9,171.91,0.0
105,Singh Kumar,singh.kumar@example.com,+16515369278,HubSpot,2026-02-15,Other,Finance,New,26,78.48,0.0
106,Amit Tv,amit.tv@example.com,+919819921250,Apollo.io,2026-01-29,India,Healthcare,Contacted,30,191.24,0.0
107,Arjun Patel,arjun.patel@example.com,+919588580274,LinkedIn Sales Navigator,2026-01-03,India,Retail,New,28,26.63,0.0
108,Amit Patel,amit.patel@example.com,+14750707607,Meta Ads,2026-01-22,Europe,Healthcare,Contacted,2,20.43,0.0
109,Rahul Sharma,rahul.sharma@example.com,+918431779064,WhatsApp Business,2026-03-08,India,Retail,Converted,18,131.74,6582.8650155090245
110,Arjun Kumar,arjun.kumar@example.com,+917350048353,HubSpot,2026-02-04,India,Healthcare,Contacted,6,188.57,0.0
111,Rahul Gupta,rahul.gupta@example.com,+919502847163,Apollo.io,2026-01-22,India,HR,Contacted,9,161.78,0.0
112,Vikram Patel,vikram.patel@example.com,+919850192297,LinkedIn Sales Navigator,2026-03-19,India,HR,New,1,15.28,0.0
113,Arjun Bose,arjun.bose@example.com,+16797436140,Meta Ads,2026-02-27,Other,HR,New,9,55.87,0.0
114,Priya Patel,priya.patel@example.com,+12683446724,WhatsApp Business,2026-02-14,Europe,HR,Contacted,25,186.06,0.0
115,Neha Sharma,neha.sharma@example.com,+15028688786,HubSpot,2026-03-18,US,Tech,New,16,50.61,0.0
116,Arjun Tv,arjun.tv@example.com,+18695129534,Apollo.io,2026-02-22,Europe,HR,New,13,156.23,0.0
117,Neha Bose,neha.bose@example.com,+14492602049,LinkedIn Sales Navigator,2026-01-13,Europe,Finance,Contacted,9,165.03,0.0
118,Anita Desai,anita.desai@example.com,+919878128023,Meta Ads,2026-01-28,India,Finance,Converted,21,99.09,544.3957835071104
119,Amit Sharma,amit.sharma@example.com,+19991312028,WhatsApp Business,2026-01-12,Europe,Tech,Contacted,13,77.27,0.0
120,Arjun Kumar,arjun.kumar@example.com,+18174554059,HubSpot,2026-01-26,US,HR,New,9,90.02,0.0
121,Priya Gupta,priya.gupta@example.com,+17478908722,Apollo.io,2026-03-07,Europe,HR,Contacted,11,45.39,0.0
122,Arjun Sharma,arjun.sharma@example.com,+15373266871,LinkedIn Sales Navigator,2026-03-04,Europe,HR,Contacted,4,177.88,0.0
123,Arjun Tv,arjun.tv@example.com,+918326569692,Meta Ads,2026-01-28,India,Healthcare,Contacted,2,90.12,0.0
124,Vikram Reddy,vikram.reddy@example.com,+917774223342,WhatsApp Business,2026-03-10,India,Retail,Contacted,29,176.49,0.0
125,Anita Singh,anita.singh@example.com,+917919950484,HubSpot,2026-02-18,India,Healthcare,New,6,21.14,0.0
126,Priya Reddy,priya.reddy@example.com,+918467729242,Apollo.io,2026-03-10,India,Retail,Contacted,14,197.66,0.0
127,Vikram Tv,vikram.tv@example.com,+13088517710,LinkedIn Sales Navigator,2026-02-15,Europe,HR,Contacted,4,88.65,0.0
128,Anita Mehta,anita.mehta@example.com,+11590838716,Meta Ads,2026-02-10,Europe,HR,Converted,6,9.57,2993.2335393942003
129,Priya Desai,priya.desai@example.com,+917331421524,WhatsApp Business,2026-01-23,India,Healthcare,Contacted,19,7.6,0.0
130,Vikram Mehta,vikram.mehta@example.com,+14384950377,HubSpot,2026-01-12,US,Healthcare,Contacted,6,149.24,0.0
131,Raj Desai,raj.desai@example.com,+919180510715,Apollo.io,2026-03-01,India,Retail,Contacted,2,131.81,0.0
132,Raj Reddy,raj.reddy@example.com,+919318297747,LinkedIn Sales Navigator,2026-02-27,India,Finance,Contacted,18,160.43,0.0
133,Neha Bose,neha.bose@example.com,+919261436148,Meta Ads,2026-01-06,India,Retail,Converted,13,21.07,3403.7808917419475
134,Sonia Mehta,sonia.mehta@example.com,+917162124225,WhatsApp Business,2026-01-01,India,Healthcare,Contacted,9,7.11,0.0
135,Rahul Desai,rahul.desai@example.com,+18137931739,HubSpot,2026-01-09,Other,Healthcare,Contacted,23,101.72,0.0
136,Arjun Gupta,arjun.gupta@example.com,+919654424954,Apollo.io,2026-01-14,India,Tech,Contacted,19,77.52,0.0
137,Vikram Kumar,vikram.kumar@example.com,+12617999521,LinkedIn Sales Navigator,2026-03-16,US,Healthcare,Contacted,13,92.39,0.0
138,Priya Gupta,priya.gupta@example.com,+11696846464,Meta Ads,2026-01-15,US,Tech,Contacted,11,198.32,0.0
139,Rahul Kumar,rahul.kumar@example.com,+919975749366,WhatsApp Business,2026-03-23,India,Finance,Converted,1,194.15,2235.463125267821
140,Rahul Bose,rahul.bose@example.com,+12879792991,HubSpot,2026-02-18,Other,Retail,Contacted,24,188.46,0.0
141,Arjun Desai,arjun.desai@example.com,+17059591606,Apollo.io,2026-03-12,Other,Retail,Contacted,30,156.77,0.0
142,Vikram Tv,vikram.tv@example.com,+919904956613,LinkedIn Sales Navigator,2026-01-03,India,Tech,Converted,22,70.97,2642.5644715327617
143,Rahul Singh,rahul.singh@example.com,+918020184428,Meta Ads,2026-02-13,India,Retail,New,7,82.43,0.0
144,Raj Mehta,raj.mehta@example.com,+918907818922,WhatsApp Business,2026-02-12,India,Healthcare,New,25,109.92,0.0
145,Amit Singh,amit.singh@example.com,+919622487366,HubSpot,2026-03-12,India,HR,New,21,166.11,0.0
146,Neha Singh,neha.singh@example.com,+918223756141,Apollo.io,2026-02-23,India,Tech,Converted,15,13.74,4285.9948851074005
147,Neha Bose,neha.bose@example.com,+18661364201,LinkedIn Sales Navigator,2026-03-03,US,Retail,New,1,84.86,0.0
148,Neha Reddy,neha.reddy@example.com,+16322188162,Meta Ads,2026-01-27,US,Tech,New,12,16.52,0.0
149,Singh Reddy,singh.reddy@example.com,+919014406658,WhatsApp Business,2026-03-06,India,Tech,New,26,102.93,0.0
150,Amit Sharma,amit.sharma@example.com,+917833293142,HubSpot,2025-12-27,India,HR,New,7,179.78,0.0
151,Amit Desai,amit.desai@example.com,+19523104008,Apollo.io,2026-03-23,Other,Healthcare,New,15,156.5,0.0
152,Rahul Reddy,rahul.reddy@example.com,+918982900391,LinkedIn Sales Navigator,2026-01-09,India,Tech,Contacted,21,45.57,0.0
153,Amit Mehta,amit.mehta@example.com,+918210200352,Meta Ads,2026-03-23,India,Retail,Contacted,19,195.2,0.0
154,Rahul Mehta,rahul.mehta@example.com,+918640129626,WhatsApp Business,2026-03-04,India,Finance,New,28,133.47,0.0
155,Singh Sharma,singh.sharma@example.com,+13597009738,HubSpot,2026-01-29,Other,Tech,New,29,2.09,0.0
156,Neha Kumar,neha.kumar@example.com,+918073755632,Apollo.io,2026-03-18,India,Tech,New,25,51.08,0.0
157,Anita Kumar,anita.kumar@example.com,+19814045133,LinkedIn Sales Navigator,2026-02-07,US,HR,New,1,52.14,0.0
158,Neha Bose,neha.bose@example.com,+15012760260,Meta Ads,2026-01-09,Europe,Healthcare,Contacted,17,13.85,0.0
159,Vikram Mehta,vikram.mehta@example.com,+919215813941,WhatsApp Business,2026-02-01,India,Finance,Contacted,17,191.97,0.0
160,Sonia Reddy,sonia.reddy@example.com,+14655730355,HubSpot,2026-02-19,US,Retail,New,3,95.65,0.0
161,Vikram Desai,vikram.desai@example.com,+918224336336,Apollo.io,2026-01-15,India,Finance,Contacted,12,179.16,0.0
162,Sonia Singh,sonia.singh@example.com,+15983503547,LinkedIn Sales Navigator,2026-02-22,US,Retail,New,6,64.44,0.0
163,Vikram Mehta,vikram.mehta@example.com,+13204833223,Meta Ads,2025-12-26,US,Healthcare,Converted,26,25.05,4223.7027591044625
164,Neha Gupta,neha.gupta@example.com,+18864285771,WhatsApp Business,2026-01-28,US,Retail,Contacted,11,94.87,0.0
165,Neha Kumar,neha.kumar@example.com,+917393906783,HubSpot,2026-02-28,India,HR,Contacted,3,22.79,0.0
166,Priya Kumar,priya.kumar@example.com,+15409514899,Apollo.io,2026-01-17,Europe,HR,New,8,97.2,0.0
167,Vikram Sharma,vikram.sharma@example.com,+917228736604,LinkedIn Sales Navigator,2026-02-28,India,HR,Converted,14,184.06,2200.095480300053
168,Sonia Patel,sonia.patel@example.com,+918702756809,Meta Ads,2026-01-08,India,HR,New,14,104.15,0.0
169,Amit Kumar,amit.kumar@example.com,+919156104136,WhatsApp Business,2026-03-16,India,Finance,New,10,123.3,0.0
170,Rahul Gupta,rahul.gupta@example.com,+12606152369,HubSpot,2026-02-02,US,Healthcare,New,2,31.33,0.0
171,Arjun Reddy,arjun.reddy@example.com,+15645459980,Apollo.io,2026-03-17,US,Retail,New,14,8.75,0.0
172,Arjun Gupta,arjun.gupta@example.com,+917964386641,LinkedIn Sales Navigator,2026-02-28,India,Retail,Converted,9,22.16,2837.0885886475135
173,Priya Kumar,priya.kumar@example.com,+15416031878,Meta Ads,2026-03-13,US,HR,Converted,3,119.71,2035.9667532429705
174,Neha Kumar,neha.kumar@example.com,+917425558776,WhatsApp Business,2026-01-20,India,HR,New,21,19.0,0.0
175,Vikram Patel,vikram.patel@example.com,+18086527181,HubSpot,2026-01-14,US,Tech,Contacted,26,75.2,0.0
176,Neha Tv,neha.tv@example.com,+917627276995,Apollo.io,2026-02-11,India,Healthcare,Converted,8,110.02,4840.609746191364
177,Sonia Patel,sonia.patel@example.com,+11590985753,LinkedIn Sales Navigator,2026-01-15,US,Finance,Converted,16,77.73,3525.067441122541
178,Neha Tv,neha.tv@example.com,+918232137626,Meta Ads,2026-03-05,India,Retail,Contacted,2,32.74,0.0
179,Singh Reddy,singh.reddy@example.com,+14569592370,WhatsApp Business,2026-03-03,Other,Tech,Converted,6,54.76,1538.1593639791604
180,Neha Patel,neha.patel@example.com,+919014812671,HubSpot,2025-12-26,India,Tech,Converted,28,185.66,4959.478529292218
181,Rahul Sharma,rahul.sharma@example.com,+918926728669,Apollo.io,2026-03-12,India,Retail,Contacted,21,135.2,0.0
182,Singh Bose,singh.bose@example.com,+919642900640,LinkedIn Sales Navigator,2026-02-05,India,Finance,New,29,99.21,0.0
183,Neha Mehta,neha.mehta@example.com,+11340272119,Meta Ads,2026-02-26,Other,Tech,Contacted,26,2.54,0.0
184,Rahul Mehta,rahul.mehta@example.com,+12099184899,WhatsApp Business,2025-12-28,Europe,Tech,Converted,25,198.48,6500.18909065626
185,Vikram Patel,vikram.patel@example.com,+917642181881,HubSpot,2026-01-09,India,Healthcare,New,12,134.29,0.0
186,Singh Gupta,singh.gupta@example.com,+17561728644,Apollo.io,2026-02-10,US,Finance,Converted,5,63.38,6270.709191062456
187,Rahul Sharma,rahul.sharma@example.com,+12237386857,LinkedIn Sales Navigator,2026-02-03,Europe,Tech,New,2,175.85,0.0
188,Priya Desai,priya.desai@example.com,+12293434554,Meta Ads,2026-01-25,US,Finance,New,16,51.69,0.0
189,Rahul Sharma,rahul.sharma@example.com,+11205082311,WhatsApp Business,2026-01-02,US,Retail,New,5,108.8,0.0
190,Arjun Tv,arjun.tv@example.com,+918803136972,HubSpot,2026-01-25,India,HR,New,15,127.21,0.0
191,Raj Patel,raj.patel@example.com,+919744276785,Apollo.io,2026-03-08,India,Tech,Converted,12,44.21,5503.966808478211
192,Arjun Gupta,arjun.gupta@example.com,+12963288053,LinkedIn Sales Navigator,2026-01-05,Europe,Healthcare,Converted,4,195.68,4986.887453222292
193,Priya Kumar,priya.kumar@example.com,+19182543558,Meta Ads,2026-01-05,Other,Retail,Converted,15,149.64,4651.623613795991
194,Priya Reddy,priya.reddy@example.com,+19660523876,WhatsApp Business,2026-02-26,US,Finance,Contacted,11,111.56,0.0
195,Anita Bose,anita.bose@example.com,+919213521907,HubSpot,2026-01-03,India,Retail,New,16,36.12,0.0
196,Arjun Bose,arjun.bose@example.com,+919469810046,Apollo.io,2026-03-04,India,Tech,Contacted,23,10.77,0.0
197,Amit Reddy,amit.reddy@example.com,+15911625145,LinkedIn Sales Navigator,2026-01-11,US,Finance,Contacted,6,64.01,0.0
198,Anita Mehta,anita.mehta@example.com,+12843567009,Meta Ads,2026-01-11,Europe,HR,Contacted,14,150.64,0.0
199,Rahul Gupta,rahul.gupta@example.com,+17935554354,WhatsApp Business,2026-03-20,Europe,Retail,New,18,53.87,0.0
200,Arjun Desai,arjun.desai@example.com,+12789144223,HubSpot,2026-02-24,Europe,Tech,Contacted,12,107.91,0.0
201,Neha Bose,neha.bose@example.com,+19957643727,Apollo.io,2026-03-06,US,Healthcare,Contacted,27,145.59,0.0
202,Arjun Tv,arjun.tv@example.com,+918548781344,LinkedIn Sales Navigator,2026-01-16,India,Finance,Converted,11,21.59,6614.131554348352
203,Arjun Sharma,arjun.sharma@example.com,+917290680473,Meta Ads,2026-01-28,India,Retail,Converted,13,137.06,2889.0353701641066
204,Amit Kumar,amit.kumar@example.com,+15382302465,WhatsApp Business,2026-03-03,Europe,Retail,Contacted,21,18.37,0.0
205,Neha Sharma,neha.sharma@example.com,+19045897249,HubSpot,2026-03-13,US,HR,Contacted,23,193.03,0.0
206,Raj Kumar,raj.kumar@example.com,+917186978937,Apollo.io,2026-02-18,India,HR,Contacted,11,97.68,0.0
207,Raj Reddy,raj.reddy@example.com,+919730185259,LinkedIn Sales Navigator,2026-01-22,India,Healthcare,New,23,30.14,0.0
208,Priya Patel,priya.patel@example.com,+16898288854,Meta Ads,2026-03-05,US,Healthcare,Converted,16,68.48,1935.5200597966898
209,Singh Desai,singh.desai@example.com,+917069759864,WhatsApp Business,2026-03-24,India,Tech,Converted,15,82.68,6722.843489558973
210,Rahul Bose,rahul.bose@example.com,+918533706498,HubSpot,2026-01-20,India,Tech,Contacted,21,151.64,0.0
211,Rahul Gupta,rahul.gupta@example.com,+14386667704,Apollo.io,2026-02-03,US,Healthcare,New,28,148.68,0.0
212,Singh Kumar,singh.kumar@example.com,+12480915452,LinkedIn Sales Navigator,2026-02-15,US,Healthcare,New,15,122.39,0.0
213,Neha Gupta,neha.gupta@example.com,+13698343112,Meta Ads,2026-03-21,US,Finance,Contacted,25,21.19,0.0
214,Rahul Sharma,rahul.sharma@example.com,+919499255738,WhatsApp Business,2026-03-19,India,HR,New,4,30.31,0.0
215,Amit Gupta,amit.gupta@example.com,+12428156550,HubSpot,2026-02-11,US,Tech,Converted,11,18.75,3608.182348278956
216,Arjun Kumar,arjun.kumar@example.com,+917190420322,Apollo.io,2026-02-20,India,HR,New,19,115.43,0.0
217,Anita Sharma,anita.sharma@example.com,+918513112872,LinkedIn Sales Navigator,2026-03-02,India,HR,New,15,175.43,0.0
